presence	pair	from	to	edge	caller	provider	verb	path	conjunct	leg	component	severity	rule	violation_path	old	new	state	collided	evidence	caller_changed	provider_changed
declared	P15	1.32.3	1.32.4	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	yes	yes
declared	P15	1.32.3	1.32.4	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P15	1.32.3	1.32.4	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P16	1.32.4	1.33.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P16	1.32.4	1.33.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P16	1.32.4	1.33.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	yes	yes
declared	P16	1.32.4	1.33.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	yes	yes
declared	P16	1.32.4	1.33.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P16	1.32.4	1.33.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P17	1.33.0	1.33.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P17	1.33.0	1.33.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P17	1.33.0	1.33.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	yes	yes
declared	P17	1.33.0	1.33.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	yes	yes
declared	P17	1.33.0	1.33.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P17	1.33.0	1.33.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P18	1.33.1	1.33.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	no	no
declared	P18	1.33.1	1.33.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	no	no
declared	P18	1.33.1	1.33.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	no	no
declared	P18	1.33.1	1.33.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	no	no
declared	P18	1.33.1	1.33.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	no	no
declared	P18	1.33.1	1.33.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	no	no
declared	P19	1.33.2	1.33.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P19	1.33.2	1.33.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P19	1.33.2	1.33.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	yes	yes
declared	P19	1.33.2	1.33.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	yes	yes
declared	P19	1.33.2	1.33.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P19	1.33.2	1.33.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P20	1.33.3	1.34.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P20	1.33.3	1.34.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P20	1.33.3	1.34.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	yes	yes
declared	P20	1.33.3	1.34.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	yes	yes
declared	P20	1.33.3	1.34.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
declared	P20	1.33.3	1.34.0	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	yes	yes
declared	P21	1.34.0	1.34.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	no	no
declared	P21	1.34.0	1.34.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	no	no
declared	P21	1.34.0	1.34.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	no	no
declared	P21	1.34.0	1.34.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	no	no
declared	P21	1.34.0	1.34.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	no	no
declared	P21	1.34.0	1.34.1	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	no	no
declared	P22	1.34.1	1.34.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	no	no
declared	P22	1.34.1	1.34.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	no	no
declared	P22	1.34.1	1.34.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.marginal	number(double)	integer(int32)	live	no	no	no	no
declared	P22	1.34.1	1.34.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C2	request	body	WARN	format-change	$.body.thresholds.pass	number(double)	integer(int32)	live	no	no	no	no
declared	P22	1.34.1	1.34.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	no	no
declared	P22	1.34.1	1.34.2	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	TGT	request	body	WARN	format-change	$.body.thresholds.pass	integer(int32)	number(double)	live	no	no	no	no
declared	P23	1.34.2	1.34.3	orca-kayenta/2	orca	kayenta	POST	/canary/{canaryConfigId}	C1	request	body	WARN	format-change	$.body.thresholds.marginal	integer(int32)	number(double)	live	no	no	yes	yes
